store_id,family,avg_daily_demand,std_daily_demand,max_daily_demand,median_demand,total_days,safety_stock_95,safety_stock_99,reorder_point_95,reorder_point_99,suggested_order_qty,max_stock_level,stockout_rate,risk_score,risk_category,city,tajir_category,is_fmcg
20,GROCERY I,3755.313244863014,2449.589219699332,7448.0,3812.79,1168,5716.0,8072.0,13227.0,15583.0,26287.0,32003.0,22.0,58.8,High,Quito,FMCG,True
21,GROCERY I,3089.5256107249256,2200.2751512150644,7448.0,3190.93,1007,5134.0,7250.0,11313.0,13429.0,21627.0,26761.0,25.52,54.6,High,Santo Domingo,FMCG,True
52,GROCERY I,1887.9436997319035,2855.9629930707265,7448.0,0.0,373,6664.0,9411.0,10440.0,13187.0,13216.0,19880.0,68.36,54.0,High,Manta,FMCG,True
52,PRODUCE,1551.9831367292225,2393.547227887297,7448.0,0.0,373,5585.0,7887.0,8689.0,10991.0,10864.0,16449.0,68.36,53.2,High,Manta,Fresh,True
52,BEVERAGES,1440.6193029490616,2214.249702981412,7448.0,0.0,373,5167.0,7296.0,8048.0,10177.0,10084.0,15251.0,68.36,51.7,High,Manta,FMCG,True
20,BEVERAGES,2324.664383561644,1830.9135400452776,7448.0,2206.5,1168,4272.0,6033.0,8921.0,10682.0,16273.0,20545.0,22.0,50.1,High,Quito,FMCG,True
43,BOOKS,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Esmeraldas,Non-Food,False
39,BOOKS,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Cuenca,Non-Food,False
11,BOOKS,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Cayambe,Non-Food,False
43,LADIESWEAR,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Esmeraldas,Non-Food,False
54,BOOKS,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,El Carmen,Non-Food,False
35,BOOKS,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Playas,Non-Food,False
35,LADIESWEAR,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Playas,Non-Food,False
13,BABY CARE,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Latacunga,FMCG,True
44,BABY CARE,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Quito,FMCG,True
34,BOOKS,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Guayaquil,Non-Food,False
45,BABY CARE,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Quito,FMCG,True
33,LADIESWEAR,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Quevedo,Non-Food,False
13,BOOKS,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Latacunga,Non-Food,False
33,BOOKS,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Quevedo,Non-Food,False
52,BOOKS,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Manta,Non-Food,False
52,BABY CARE,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Manta,FMCG,True
46,BABY CARE,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Quito,FMCG,True
36,BOOKS,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Libertad,Non-Food,False
12,BOOKS,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,Medium,Latacunga,Non-Food,False
