store_id,family,total_days,zero_sale_days,avg_sales,total_sales,max_consecutive_zeros,avg_rolling_mean,sales_volatility,stockout_rate,revenue_impact,risk_score,risk_category,city,store_type,tajir_category,is_fmcg
20,GROCERY I,1168,257,3755.313244863014,4386205.87,255,3739.9957363013696,1195.1339297945206,22.0,965116.0,58.8,High,Quito,B,FMCG,True
21,GROCERY I,1007,257,3089.5256107249256,3111152.29,255,3075.61,1014.4040615690168,25.52,794008.0,54.6,High,Santo Domingo,B,FMCG,True
52,GROCERY I,373,255,1887.9436997319035,704203.0,255,1839.9877211796247,406.9539410187668,68.36,481426.0,54.0,High,Manta,A,FMCG,True
52,PRODUCE,373,255,1551.9831367292225,578889.71,255,1517.2171849865952,448.87166219839145,68.36,395756.0,53.2,High,Manta,A,Fresh,True
52,BEVERAGES,373,255,1440.6193029490616,537351.0,255,1406.16672922252,375.9597587131367,68.36,367358.0,51.7,High,Manta,A,FMCG,True
20,BEVERAGES,1168,257,2324.664383561644,2715208.0,255,2312.153030821918,999.6052311643834,22.0,597439.0,50.1,High,Quito,B,FMCG,True
43,BOOKS,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Esmeraldas,E,Non-Food,False
39,BOOKS,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Cuenca,B,Non-Food,False
11,BOOKS,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Cayambe,B,Non-Food,False
43,LADIESWEAR,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Esmeraldas,E,Non-Food,False
54,BOOKS,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,El Carmen,C,Non-Food,False
35,BOOKS,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Playas,C,Non-Food,False
35,LADIESWEAR,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Playas,C,Non-Food,False
13,BABY CARE,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Latacunga,C,FMCG,True
44,BABY CARE,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Quito,A,FMCG,True
34,BOOKS,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Guayaquil,B,Non-Food,False
45,BABY CARE,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Quito,A,FMCG,True
33,LADIESWEAR,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Quevedo,C,Non-Food,False
13,BOOKS,255,255,0.0,0.0,255,0.0,0.0,100.0,0.0,50.0,Medium,Latacunga,C,Non-Food,False
